,,,,,,库房,,,,,,,
,,,,,库房,库房,库房,试衣间,试衣间,,,,
,,,,库房,库房,库房,库房,试衣间,试衣间,,,,
,,,库房,库房,库房,库房,库房,0,0,收银台,,,
,,,小饰品,小饰品,库房,库房,0,0,0,收银台,,,
,,小饰品,0,0,小饰品,库房,0,0,0,收银台,收银台,,
,小饰品,0,0,0,0,小饰品,0,0,0,0,收银台,收银台,
小饰品,0,0,,0,0,0,小饰品,0,0,0,0,收银台,0
小饰品,0,女打底裤/针织裤,抓绒针织裤,0,0,0,0,0,0,0,0,0,0
小饰品,0,女牛仔喇叭裤&九分喇叭裤,女针织裤,0,0,0,0,0,0,0,0,0,小饰品
0,0,0,0,0,0,0,0,0,0,0,0,0,小饰品
女牛仔直筒/牛仔阔腿,0,女半裙,女连衣裙,0,长裤&加厚长长裤,男牛仔九分,0,男卫衣&男牛仔裤,男牛仔九裤,牛仔裤&抓绒牛仔裤,0,0,矩框/男其它毛衣&开衫毛衣&深秋毛衣
女牛仔直筒/牛仔阔腿,0,女衬衣C5&衬衣,女家居服,0,长裤&加厚长长裤,男牛仔九分,0,0,男针织裤/抓绒针织裤,男运动裤,0,0,矩框/男其它毛衣&开衫毛衣&深秋毛衣
女牛仔九分裤/抓绒牛仔裤,0,0,0,0,女九分裤&九分阔腿裤,男九分裤,0,0,0,0,0,0,男抓绒卫衣&加绒卫衣/抓绒开衫卫衣
女牛仔九分裤/抓绒牛仔裤,0,中袖衫,女中袖衬衣,0,女九分裤&九分阔腿裤,男九分裤,0,男长裤,抓绒长裤,男针织裤,0,0,男抓绒卫衣&加绒卫衣/抓绒开衫卫衣
女卫衣A2/女其他卫衣&T恤,0,女中袖毛衣,女中袖毛衣,0,0,0,0,男长裤,抓绒长裤,男针织裤,0,0,男抓/加绒卫衣/抓绒开衫卫衣
女卫衣A2/女其他卫衣&T恤,0,0,0,0,0,0,0,0,0,0,男针织裤,0,男抓/加绒卫衣/抓绒开衫卫衣
女卫衣A3/女卫衣A1,0,女抓绒卫衣,底衫,0,毛衣,男中袖T恤&T恤&底衫,0,0,男薄棉外套,呢外套,男针织裤,0,0
女棉背心,0,女抓绒卫衣,女打底毛衣,0,女开衫毛衣/毛衣,男羽绒服,0,0,男其它毛衣/开衫毛衣,深秋毛衣,0,0,男卫衣A1#男卫衣A3/男开衫卫衣&其它卫衣
0,0,0,0,0,女开衫毛衣,男羽绒服,0,,0,0,0,0,男卫衣A1#男卫衣A3/男开衫卫衣&其它卫衣
矩框/女薄棉外套&呢外套,0,女毛绒家居服,女毛绒家居服,0,0,0,0,男毛衣A3,男毛衣A3,0,0,男卫衣A2/男卫衣A4,
矩框/女薄棉外套&呢外套,0,女毛绒家居服,女毛绒家居服,0,0,0,0,男毛衣A3,男毛衣A3,0,0,男卫衣A2/男卫衣A4,
矩框/女羽绒服&加绒外套&毛绒外套,0,女卫衣,女卫衣,0,女开衫毛衣&毛衣,女开衫毛衣&毛衣,0,男卫衣,男卫衣,0,男外套A4#男外套C1/男防晒服&其它外套,,
矩框/女羽绒服&加绒外套&毛绒外套,0,女卫衣,女卫衣,0,女开衫毛衣&毛衣,女开衫毛衣&毛衣,0,男卫衣,男卫衣,0,男外套A4#男外套C1/男防晒服&其它外套,,
女外套A4&牛仔外套/女外套&防晒服,0,0,0,0,女开衫毛衣&毛衣,女开衫毛衣&毛衣,0,0,0,男外套A2/男外套A5,,,
女外套A4&牛仔外套/女外套&防晒服,0,0,0,0,0,0,0,0,0,男外套A2/男外套A5,,,
女外套A3,0,0,0,0,0,0,0,0,男外套A2/男外套A5,,,,
女外套A3,0,0,0,0,0,0,0,0,男外套A2/男外套A5,,,,
0,0,0,0,0,0,0,,0,,,,,
0,门口,门口,门口,0,橱窗,橱窗,橱窗,0,,,,,
,,,,0,橱窗,橱窗,橱窗,0,,,,,
,,,,0,橱窗,橱窗,橱窗,0,,,,,
,,,,,,,,,,,,,
