库房,库房,试衣间,试衣间,试衣间,试衣间,试衣间,库房,库房,库房,库房,库房
库房,库房,试衣间,试衣间,试衣间,试衣间,试衣间,库房,库房,库房,库房,库房
库房,库房,试衣间,试衣间,试衣间,试衣间,试衣间,收银台,收银台,收银台,收银台,收银台
库房,库房,0,0,0,0,0,0,收银台,收银台,收银台,收银台
库房,库房,0,0,0,0,0,0,0,0,0,0
库房,库房,0,0,0,0,0,0,抓绒长裤,牛仔裤&抓绒牛仔裤,0,男牛仔九分裤/牛仔裤&抓绒牛仔裤
0,小饰品,小饰品,小饰品,小饰品,小饰品,0,0,男长裤,男牛仔九分裤,0,男九分裤
女牛仔九分喇叭裤/九分喇叭裤,0,0,0,0,0,0,0,男运动裤,男九分裤,0,男九分裤
女牛仔直筒裤/牛仔阔腿裤,0,女打底裤&抓绒打底裤,长裤&加厚长裤,0,女中袖衬衣&中袖衫,0,0,0,0,0,男毛衣/开衫毛衣&深秋毛衣
女牛仔直筒裤/牛仔阔腿裤,0,女针织裤&抓绒针织裤,女九分裤&九分阔腿裤,0,女衬衣C5&其它衬衣,0,0,男针织裤,抓绒针织裤,0,男毛衣/开衫毛衣&深秋毛衣
女牛仔九分裤/抓绒牛仔裤,0,0,0,0,小饰品,0,0,男针织裤,抓绒针织裤,0,男抓绒卫衣&加绒卫衣&抓绒开衫卫衣/男其它卫衣&开衫卫衣
女牛仔九分裤/抓绒牛仔裤,0,抓绒打底裤,抓绒打底裤,0,小饰品,0,0,0,0,0,0
女卫衣A2/女其它卫衣&T恤,0,女打底裤,女打底裤,0,小饰品,0,0,男T恤&底衫&中袖T恤,男薄棉外套&呢外套,0,0
女卫衣A2/女其它卫衣&T恤,0,0,0,0,小饰品,0,0,男棉背心&衬衣&中袖衬衣,男羽绒服,0,男卫衣A1#男卫衣A3/男卫衣A2#男卫衣A4
0,0,女中袖毛衣&中袖开衫毛衣,0,0,女中袖T恤/女半裙,0,0,男毛衣A3,男毛衣A3,0,男卫衣A1#男卫衣A3/男卫衣A2#男卫衣A4
女卫衣A3/女卫衣A1,0,女毛衣&开衫毛衣,0,0,女中袖T恤/女半裙,0,0,0,0,0,矩框/男卫衣A2#男卫衣A4
女卫衣A3/女卫衣A1,0,0,0,0,0,0,0,男卫衣,男卫衣,0,矩框/男卫衣A2#男卫衣A4
矩框/女薄棉外套/呢外套,0,女毛衣&开衫毛衣,女棉背心,0,女卫衣,女卫衣,0,男卫衣,男卫衣,0,男外套A4#男外套C1/男防晒服&外套
矩框/女薄棉外套/呢外套,0,女毛线背心,女抓绒卫衣,0,女卫衣,女卫衣,0,0,0,0,男外套A4#男外套C1/男防晒服&外套
女羽绒服/加绒外套&毛绒外套,0,女打底毛衣&底衫,女毛绒家居服,0,0,0,0,0,0,0,男外套A4#男外套C1/男外套A2#男外套A5
女羽绒服/加绒外套&毛绒外套,0,0,0,0,0,0,0,0,0,0,男外套A4#男外套C1/男外套A2#男外套A5
女外套A4&牛仔外套/女外套&防晒服,0,0,0,0,0,0,0,0,0,0,男外套A2/男外套A5
女外套A4&牛仔外套/女外套&防晒服,0,0,0,0,0,0,0,0,0,0,男外套A2/男外套A5
女外套A3,0,0,0,0,0,0,0,0,0,0,0
女外套A3,0,0,0,0,0,0,0,0,0,0,0
0,橱窗,橱窗,橱窗,橱窗,0,门口,门口,门口,门口,门口,0
