,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,橱窗,橱窗,橱窗,橱窗,橱窗,橱窗,入口,入口,入口,入口,入口,入口,入口,入口,入口,入口
1,男外套A2/A5,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,女外套A3
2,男外套A2/A5,0,0,0,0,0,0,推广,推广,0.0,0,0,0,0,0.0,女129元外套（墙画）
3,男外套A4/C1,0,男加绒/抓绒卫衣,男89元卫衣（竖画）,男加绒/抓绒卫衣,男89元卫衣（竖画）,0,推广,推广,0.0,女毛绒家居服59元,女毛绒家居服59元,女89元卫衣,女89元卫衣,0.0,女外套A4/牛仔外套
4,男外套A4/C1,0,抓绒开衫卫衣,男90元卫衣（竖画）,抓绒开衫卫衣,男90元卫衣（竖画）,0,0,0,0.0,女毛绒家居服60元,女毛绒家居服60元,女89元卫衣,女89元卫衣,0.0,女外套A5/牛仔外套
5,男防晒服,0,0,0,0,0,0,女中袖T恤/女衬衣C5,女中袖毛衣/中袖开衫毛衣,0.0,0,0,0,0,0.0,女外套/防晒服
6,男外套,0,0,0,0,0,0,其他衬衣/中袖衫,毛衣/开衫毛衣,0.0,女连衣裙,女抓绒卫衣,女抓绒卫衣,女抓绒卫衣,0.0,女外套/防晒服
7,男卫衣A2/A4,0,男A1/A3,男T恤/底衫/中袖T恤/（男底衫39元竖牌）,男T恤/底衫/中袖T恤/（男底衫40元竖牌）,男T恤/底衫/中袖T恤/（男底衫41元竖牌）,0,0,0,0.0,女连衣裙,女毛线背心,打底毛衣（竖画）,底衫,0.0,女羽绒/加绒/薄棉外套
8,男卫衣A2/A4,0,男九分裤,男毛衣A3/男卫衣A1/A3（男毛衣竖画）,男毛衣A3/男卫衣A1/A4（男毛衣竖画）,男毛衣A3/男卫衣A1/A5（男毛衣竖画）,0,推广,推广,0.0,0,0,0,0,0.0,女羽绒/加绒/薄棉外套
9,男其它卫衣,0,0,0,0,0,0,推广,推广,0.0,女毛衣,开衫毛衣,棉背心,棉背心,0.0,女薄棉外套/呢外套
10,男开衫卫衣,0,男棉背心/衬衣/中袖衬衣,男棉背心/衬衣/中袖衬衣,0,0,0,推广,推广,0.0,女毛衣,开衫毛衣,棉背心,棉背心,0.0,女薄棉外套/呢外套
11,0,0,男棉背心/衬衣/中袖衬衣,男棉背心/衬衣/中袖衬衣,0,0,0,推广,推广,0.0,0,0,0,0,0.0,0
12,男79九分裤（墙画）,0,0,0,0,0,0,女家居裤,女半裙,0.0,0,0,女抓绒针织裤,女针织裤,0.0,女卫衣A3/A1
13,男九分裤,0,男羽绒服/薄棉外套（竖画）/呢外套,男羽绒服/薄棉外套（竖画）/呢外套,男羽绒服/薄棉外套（竖画）/呢外套,九分裤,0,0,0,0.0,0,0,女抓绒针织裤,女针织裤（59元针织裤竖画）,0.0,女卫衣A3/A2
14,男牛仔九分裤/牛仔裤/男抓绒牛仔裤,0,男羽绒服/薄棉外套（竖画）/呢外套,男羽绒服/薄棉外套（竖画）/呢外套,男羽绒服/薄棉外套（竖画）/呢外套,九分裤,0,女打底裤/抓绒打底裤,女打底裤/抓绒打底裤,0.0,0,0,0,0,0.0,其它卫衣/T恤/女卫衣A2
15,男牛仔九分裤/牛仔裤/男抓绒牛仔裤,0,0,0,0,0,0,女打底裤/抓绒打底裤,女打底裤/抓绒打底裤,0.0,0,0,0,0,0.0,其它卫衣/T恤/女卫衣A3
16,男牛仔九分裤/牛仔裤/男抓绒牛仔裤,0,男长裤/运动裤/抓绒长裤,男长裤/运动裤/抓绒长裤,男针织裤/抓绒针织裤（79元针织裤）,男针织裤/抓绒针织裤（80元针织裤）,0,0,0,0.0,双肩包,0,0,0,0.0,女直筒裤/女阔腿裤
17,男牛仔九分裤/牛仔裤/男抓绒牛仔裤,0,男长裤/运动裤/抓绒长裤,男长裤/运动裤/抓绒长裤,男针织裤/抓绒针织裤（79元针织裤）,男针织裤/抓绒针织裤（80元针织裤）,0,女牛仔九分喇叭裤/九分喇叭/牛仔九分/抓绒牛仔裤,女九分/九分阔腿/长裤/加厚长裤（运动九分竖排）,0.0,双肩包,0,0,0,0.0,女直筒裤/女阔腿裤
18,男牛仔九分裤/牛仔裤/男抓绒牛仔裤,0,0,0,0,0,0,女牛仔九分喇叭裤/九分喇叭/牛仔九分/抓绒牛仔裤,女九分/九分阔腿/长裤/加厚长裤（运动九分竖排）,0.0,时皮,女牛仔九分裤/抓绒牛仔裤,女牛仔九分裤/抓绒牛仔裤,女直筒裤/女阔腿裤,0.0,0.0
19,男牛仔九分裤/牛仔裤/男抓绒牛仔裤,0,0,0,0,0,0,女牛仔九分喇叭裤/九分喇叭/牛仔九分/抓绒牛仔裤,女九分/九分阔腿/长裤/加厚长裤（运动九分竖排）,0.0,女衬裤,0,0,0,0.0,0.0
20,0,男衬裤,男衬裤,夏男女袜,夏男女袜,夏男女袜,秋拖,0,0,0.0,女衬裤,0,0,0,0.0,0.0
21,试衣间,试衣间,试衣间,试衣间,试衣间,试衣间,试衣间,0,0,0.0,女衬裤,女衬裤,女衬裤,女衬裤,女衬裤,女衬裤
